,State,Population,,,,,,
1,Uttar Pradesh,"237,882,725","199,812,341","38,070,384",19.05,17.35,Pakistan,5
2,Bihar,"124,799,926","104,099,452","20,700,474",19.89,9.1,Japan,12
3,Maharashtra,"123,144,223","112,374,333","10,769,890",9.58,8.98,Japan,12
4,West Bengal,"99,609,303","91,276,115","8,333,188",9.13,7.26,Egypt,15
5,Madhya Pradesh,"85,358,965","72,626,809","12,732,156",17.53,6.22,Democratic Republic of the Congo,17
6,Rajasthan,"81,032,689","68,548,437","12,484,252",18.21,5.91,Iran,20
7,Tamil Nadu,"77,841,267","72,147,030","5,694,237",7.89,5.68,Iran,20
8,Karnataka,"67,562,686","61,095,297","6,467,389",10.59,4.93,United Kingdom,21
9,Gujarat,"63,872,399","60,439,692","3,432,707",5.68,4.66,France,23
10,Andhra Pradesh,"53,903,393","49,576,777","4,326,616",8.73,3.93,Myanmar,27
11,Odisha,"46,356,334","41,974,218","4,382,116",10.44,3.38,Spain,31
12,Telangana,"39,362,732","35,004,000","4,358,732",12.45,2.87,Iraq,36
13,Jharkhand,"38,593,948","32,988,134","5,605,814",16.99,2.81,Afghanistan,37
14,Kerala,"35,699,443","33,406,061","2,293,382",6.87,2.6,Morocco,41
15,Assam,"35,607,039","31,205,576","4,401,463",14.1,2.6,Morocco,41
16,Punjab,"30,141,373","27,743,338","2,398,035",8.64,2.2,Mozambique,48
17,Chhattisgarh,"29,436,231","25,545,198","3,891,033",15.23,2.15,Yemen,48
18,Haryana,"28,204,692","25,351,462","2,853,230",11.25,2.06,Venezuela,51
NCT,Delhi,"18,710,922","16,787,941","1,922,981",11.45,1.36,Malawi,63
UT1,Jammu and Kashmir,"13,606,320","12,258,433","1,347,887",11,0.99,Guinea,75
19,Uttarakhand,"11,250,858","10,086,292","1,164,566",11.55,0.82,Haiti,84
20,Himachal Pradesh,"7,451,955","6,864,602","587,353",8.56,0.54,"China, Hong Kong SAR",104
21,Tripura,"4,169,794","3,673,917","495,877",13.5,0.3,Kuwait,130
22,Meghalaya,"3,366,710","2,966,889","399,821",13.48,0.25,Bosnia and Herzegovina,135
23,Manipur,"3,091,545","2,855,794","235,751",8.26,0.23,Mongolia,137
24,Nagaland,"2,249,695","1,978,502","271,193",13.71,0.16,Botswana,146
25,Goa,"1,586,250","1,458,545","127,705",8.76,0.12,Bahrain,153
26,Arunachal Pradesh,"1,570,458","1,383,727","186,731",13.49,0.11,Bahrain,153
UT2,Puducherry,"1,413,542","1,247,953","165,589",13.27,0.1,Trinidad and Tobago,153
27,Mizoram,"1,239,244","1,097,206","142,038",12.95,0.09,Mauritius,158
UT3,Chandigarh,"1,158,473","1,055,450","103,023",9.76,0.08,Eswatini,159
28,Sikkim,"690,251","610,577","79,674",13.05,0.05,Solomon Islands,166
UT4,Dadra and Nagar Haveli and Daman and Diu,"615,724","586,956","28,768",4.9,0.04,Luxembourg,170
UT5,Andaman and Nicobar Islands,"417,036","380,581","36,455",9.58,0.03,Brunei Darussalam,176
UT6,Ladakh,"289,023","290,492","-1,469",-0.51,0.02,French Guiana,183